ActName, ActYear, File Names
Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement (Maharashtra Amendment) Act, 2018
Bombay Motor Vehicles Tax (Amendment) Act, 2005
Maharashtra Fire Prevention and Life Safety Measures Act, 2006, 2013_K_60.txt
Tuljapur Development Authority Act, 2008
Maharashtra State Council for Occupational Therapy and Physiotherapy (Amendment) Act, 2005
Maharashtra Tax on Buildings (with larger Residential Premises) (Re-enacted) Act, 1979
Maharashtra Prevention and Eradication of Human Sacrifice and other Inhuman, Evil and Aghori Practices and Black Magic Act, 2013
Maharashtra Scheduled Castes, Scheduled Tribes, De-notified Tribes, (Vimukta Jatis), Nomadic Tribes, Other Backward Classes and Special Backward Category Regulation of Issuance and Verification of Caste Certificate Act, 2000
Maharashtra Appropriation (Vote on Account) Act, 2015
Maharashtra Project Affected Persons Rehabilitation Act, 1999
Bombay Industrial Relations (Amendment) Act, 2004
Maharashtra Municipal Corporations, Municipal Councils and Maharashtra Regional and Town Planning (Amendment) Act, 2010
Shree Sai Baba Sansthan Trust (Shirdi) (Amendment) Act, 2004
Maharashtra Education and Employment Guarantee (Cess) (Amendment) Act, 2006
Maharashtra Animal Preservation Act, 1976
Maharashtra Educational Institutions (Prohibition of Capitation Fee) Act, 1987, 2001_S_935.txt, 2017_S_455.txt
Maharashtra University of Health Sciences (Amendment) Act, 2005
Maharashtra Textile Companies (Acquisition and Transfer of Undertakings) Act, 1982
Maharashtra Provincial Collection of Taxes Act, 1962
Bombay Landing and Wharfage Fees Act, 1882
Maharashtra Provisional Collection of Taxes Act, 1962
Maharashtra Housing and Area Development (Amendment) Act, 2001
Maharashtra Education and Employment Guarantee (Cess) Act, 1962
Maharashtra Tax Laws (Levy, Amendment and Validation) Act, 2015
Maharashtra Protection of Interest of Depositors (in Financial Establishments) Act, 1999, 2018_S_29.txt, 2012_G_21.txt
Maharashtra Right to Information (Repeal) Act, 2005
Maharashtra Local Authority Members' Disqualification (Amendment) Act, 2017
Maharashtra Agricultural Produce Marketing (Regulation) (Amendment) Act, 2000
Maharashtra (Supplementary) Appropriation Act, 2017
Bombay Sales Tax and the Maharashtra State Tax on Professions, Trades, Callings and Employments (Amendment) Act, 2002
Bombay Electricity Duty Act, 1958, 2003_S_88.txt, 1996_M_139.txt, 2017_S_291.txt
Bombay Village Panchayats (Second Amendment) Act, 2010
Bombay Stamp (Amendment) Act, 2001
Bombay Khoti Abolition Act, 1949, 1958_T_21.txt, 1969_S_70.txt
Maharashtra Agricultural Produce Marketing (Development and Regulation) (Amendment) Act, 2006
Maharashtra Agricultural Produce Marketing (Development and Regulation) (Second Amendment) Act, 2006
Bombay Civil Courts (Amendment) Act, 2011
Maharashtra Regional and Town Planning (Amendment) Act, 2010
Maharashtra Tax Laws (Levy, Amendment and Validation) Act, 2007
Maharashtra Special Provision for Payment of Court-fees Act, 1976
Maharashtra (Supplementary) Appropriation Act, 2016
Maharashtra Government Servants Regulation of Transfers and Prevention of Delay in Discharge of Official Duties (Amendment) Act, 2007
Bombay Highways Act, 1955, 2016_S_82.txt, 1996_H_39.txt
Maharashtra Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016
Maharashtra Casinos (Control and Tax) Act, 1976
Maharashtra State Security Corporation Act, 2010
Maharashtra Religious Endowments (Reconstruction on Resettlement Sites) Act, 1970
