ActName, ActPassingYear, File Names
Karnataka Re-Enacting Act, 1973
Karnataka Electricity (Taxation on Consumption) (Amendment) Act, 1979
Karnataka Weights and Measures (Enforcement) (Amendment) Act, 1976
Karnataka Money Lenders (Amendment) Act, 1997
Karnataka Tax on Entry of Goods (Amendment) Act, 1992, 2003_S_473.txt, 2003_T_81.txt
Bangalore Development Authority (Amendment) Act, 1988, 2002_R_6.txt
Karnataka Land Revenue (Second Amendment) Act, 2011
Tunga Bhadra Sugars (Devi Sugars) Limited (Acquisition and Transfer of Undertaking) (Repeal) Act, 2001
Hampi World Heritage Area Management Authority (Amendment) Act, 2011
Karnataka Stamp (Amendment) Act, 1980
Mysore Aided Institutions (Prohibition of Transfers of Property) Act, 1949
Mysore Electrical Industries Limited (Acquisition of Shares) Act, 1979
Karnataka Contingency Fund (Amendment) Act, 1984
Hyderabad-Karnataka Area Development Board Act, 1991
Mysore Coffee Stealing Prevention Act, 1878
Karnataka Land Reforms (Amendment) Act, 2001
Rajiv Gandhi University of Health Sciences Act, 1994
Karnataka Slum Areas (Improvement and Clearance) (Amendment) Act, 1981
Kannada University (Amendment) Act, 1999
Karnataka Improvement Boards (Amendment) Act, 1983
Karnataka Scheduled Castes, Scheduled Tribes and other Backward Classes (Reservation of Appointment etc) (Second Amendment) Act, 2004
Renuka Yellamma Devasthana (Administration) (Amendment) Act, 1993
Karnataka Taxation and Certain Other Laws (Amendment) Act, 1979, 2002_K_62.txt, 1983_S_168.txt
Karnataka Sales Tax (Amendment) Act, 1972
Mysore Subversive Activities (Repealing) Act, 1946
Karnataka Excise (Amendment) Act, 1993
Karnataka Tax on Entry of Goods into Local Areas for Consumption, use or Sale Therein (Amendment) Act, 1985
Karnataka Tax on Entry of Goods Act, 1979, 2007_S_521.txt, 2016_S_291.txt, 2008_K_113.txt, 2003_S_473.txt, 2006_S_420.txt, 2009_S_861.txt, 2003_T_81.txt, 2001_A_292.txt, 2000_A_207.txt, 2016_S_292.txt
Hampi World Heritage Area Management Authority Act, 2002
Bangalore Water Supply and Sewerage (Amendment) Act, 1965
Karnataka Taxation Laws (Amendment) Act, 1995
Hyderabad Karnataka Area Development Board (Amendment) Act, 1993
Karnataka Vacant Lands in Urban Areas (Prohibition of Alienation) Act, 1975
Karnataka Land Reforms (Amendment) Act, 1998
Karnataka Village Defence Parties (Repeal) Act, 2004
Karnataka Sales Tax (Amendment) Act, 2003
Karnataka Fiscal Responsibility (Amendment) Act, 2009
Karnataka Civil Courts (Amendment) Act, 1978
Madras Sugar Factories Control (Karnataka Amendment and Validation of Levy of Cess) Act, 1959
Karnataka Land Revenue (Second Amendment) Act, 2009
Karnataka State Universities (Amendment) Act, 1999
Karnataka Irrigation (Levy of Betterment Contribution and Water Rate) (Amendment) Act, 1961
Karnataka Municipal Corporations (Amendment) Act, 2010
Electricity (Karnataka Amendment) Act, 2001
Karnataka Motor Vehicles Taxation (Amendment) Act, 1990
Kannada Development Authority (Amendment) Act, 1996
Karnataka Silkworm Seed, Cocoon and Silk Yarn (Regulation of Production, Supply, Distribution And Sale) (Amendment) Act, 1997
Karnataka Toddy Workers Welfare Fund Act, 1981
Karnataka Sales Tax (Amendment) Act, 1961
Karnataka Value Added Tax (Amendment) Act, 2009
Karnataka Highways (Amendment) Act, 1997
Karnataka Stamp (Amendment) Act, 1958
Karnataka Ministers Salaries and Allowances (Amendment) Act, 1967
Karnataka Public Moneys (Recovery of Dues) Act, 1979
Karnataka Municipal Corporations (Second Amendment) Act, 1986
Karnataka Land Revenue (Surcharge) (Amendment) Act, 1963
Karnataka Land Reforms (Amendment) Act, 1991
Karnataka Slum Areas (Improvement and Clearance) (Amendment) Act, 2013
Karnataka Regulation of Stone Crushers (Amendment) Act, 2013
Karnataka State Universities Act, 1976, 2001_S_793.txt, 2006_S_419.txt, 1999_S_136.txt, 2004_S_597.txt, 2004_M_173.txt, 1998_S_342.txt, 1998_G_55.txt
Karnataka State Law University Act, 2009
Karnataka Stamp (Amendment) Act, 2010
Karnataka Court-fees and Suits Valuation (Amendment) Act, 1958
Karnataka State Civil Services (Amendment) Act, 2009
Karnataka Entertainments Tax (Second Amendment) Act, 1987
Karnataka Entertainments Tax (Amendment) Act, 1988
Karnataka Non-agricultural Loans Act, 1958
Karnataka Motor Vehicles Taxation (Amendment) Act, 1966
Karnataka Municipal Corporations (Amendment) Act, 1998
Karnataka Co-operative Societies (Amendment) Act, 1976, 2007_B_98.txt
University of Agricultural Sciences (Amendment) Act, 1976
Mysore Laws (Extension to Bellary and Amendment) Act, 1955
Karnataka Improvement Boards (Amendment) Act, 1985
Karnataka Motor Vehicles Taxation (Amendment) Act, 1978
Madras Commercial Crops Markets (Karnataka Amendment and Validation of Levy of Cess) Act, 1958
Karnataka Rent Control (Amendment) Act, 1977
Karnataka Government Parks (Preservation) (Amendment) Act, 2013
Karnataka Radio and Electrical Manufacturing Company (Acquisition of Shares) Act, 1978
Madras Hindu Religious and Charitable Endowments Act, 1951, 2000_M_170.txt, 1974_K_2.txt, 1993_K_5.txt, 1979_H_1.txt, 1999_E_16.txt, 1995_S_678.txt, 1965_S_125.txt, 1960_H_6.txt, 2003_V_20.txt, 1991_N_43.txt, 1959_M_9.txt, 1968_S_111.txt, 2013_V_33.txt, 1967_T_65.txt, 1989_B_4.txt, 1965_S_117.txt, 2003_T_88.txt, 1954_S_32.txt, 2015_G_36.txt, 1959_S_4.txt, 1965_M_6.txt, 1962_S_186.txt, 1977_B_3.txt, 1966_I_8.txt, 1957_T_25.txt, 1964_C_73.txt, 1995_T_65.txt, 1979_S_258.txt
Karnataka Sales Tax (Second Amendment) Act, 1986
Mysore Betting Tax Act, 1932
Mysore Contract (Extension to Agricultural Land) Act, 1954
