ActName, ActPassingYear, File Names
Roerich and Devikarani Roerich Estate (Acquisition and Transfer) (Amendment) Act, 2001
Bangalore Development Authority (Amendment) Act, 1986
Karnataka Government Parks (Preservation) (Amendment) Act, 2011
Karnataka Municipalities and Certain other Law (Amendment) Act, 2005
Karnataka Rent Control (Amendment) Act, 1978
Karnataka Sales Tax (Amendment) Act, 1985
Karnataka Forest Act, 1963, 2017_S_608.txt, 2000_K_21.txt, 1994_C_32.txt, 2007_A_143.txt, 1993_P_5.txt, 2008_M_172.txt, 2002_K_26.txt, 2006_S_420.txt, 2001_M_526.txt, 2004_S_905.txt, 2008_S_682.txt, 2008_M_1.txt, 2018_V_4.txt, 2007_G_60.txt, 1990_S_120.txt
Karnataka State Civil Services (Regulation of Transfer of Teachers) Act, 2007
Karnataka Tax on Professions, Trades, Callings and Employments (Amendment) Act, 1990
Karnataka Taxation Laws (Amendment) Act, 2010
Karnataka Tax on Professions, Trades, Callings and Employments (Amendment) Act, 1985
Karnataka Value Added Tax (Amendment) Act, 2010
Karnataka Motor Vehicles Taxation (Amendment) Act, 1972
Karnataka Municipal Corporations (Amendment) Act, 1981
Karnataka Town and Country Planning (Amendment) Act, 1998
Karnataka Slum Areas (Improvement and Clearance) (Amendment) Act, 1986
Mysore Education Cess (Validation of Recovery) Act, 1951
Mysore Debt Conciliation Act, 1937
Karnataka Devadasis (Prohibition of Dedication) Act, 1982
Code of Criminal Procedure (Karnataka Amendment) Act, 1985
Karnataka Taxation Laws (Amendment) Act, 2001
Karnataka Motor Vehicles Taxation (Amendment) Act, 1962
Mysore Religious and Charitable Institutions (Karnataka Amendment) Act, 1979
Karnataka Sales Tax (Amendment) Act, 1962
Registration (Karnataka) (Second Amendment) Act, 1976
Karnataka Sales Tax (Third Amendment) Act, 1961
Karnataka Value Added Tax (Amendment) Act, 2007
Dandeli Notified Area (Levy of Taxes, Tolls, Cesses, Fees and Octroi) Act, 1966
Bangalore Water Supply and Sewerage (Amendment) Act, 2010
Karnataka Societies Registration (Amendment) Act, 1965
Karnataka Municipal Corporations (Amendment) Act, 2009
Karnataka State Commission for Women (Amendment) Act, 2013
Karnataka Stamp (Amendment) Act, 1995
Mysore Lotteries and Prize Competitions Control and Tax (Amendment) Act, 1957
Karnataka Excise (Amendment) Act, 1970
Karnataka Tax on Entry of Goods into a Local Area for Consumption, use or Sale Therein Act, 1980
Karnataka Repealing (Regional Laws) Act, 2011
Karnataka Khadi and Village Industries (Amendment) Act, 1983
Karnataka Municipalities (Second Amendment) Act, 1981
Karnataka Housing Board (Amendment) Act, 1974
Karnataka Determination of Seniority of the Government Servants Promoted on the basis of Reservation (to the posts in the civil services of the State) Act, 2002
Karnataka Debt Relief Act, 1980
Karnataka Silkworm Seed and Cocoon (Regulation of Production, Supply and Distribution) (Amendment) Act, 1969
Karnataka Contract Carriages (Acquisition) (Amendment) Act, 1990
Karnataka Societies Registration (Amendment) Act, 1990
Karnataka Regularisation of Unauthorised Construction In Urban Areas Act, 1991
Karnataka Tax on Professions, Trades, Callings and Employments (Amendment) Act, 1992
Karnataka Motor Vehicles Taxation (Amendment) Act, 2002
Karnataka Entertainments Tax (Amendment) Act, 2007
Karnataka Stamp (Second Amendment) Act, 1995
Karnataka Labour Welfare Fund (Amendment) Act, 1976
Karnataka Souharda Sahakari Act, 1997
Karnataka Educational Institutions (Prohibition Of Capitation Fee) (Amendment) Act, 1985
Karnataka Village Offices Abolition Act, 1961, 1977_S_72.txt, 1998_S_7.txt, 2003_P_58.txt, 1995_A_76.txt, 1992_G_45.txt, 2007_R_105.txt, 1992_G_1.txt, 2007_K_48.txt, 2004_S_167.txt, 1994_P_29.txt
Karnataka Land Revenue (Amendment) Act, 1983
Karnataka Tax on Lotteries Act, 2004
Karnataka Motor Vehicles Taxation (Amendment) Act, 1981
Karnataka Borstal Schools Act, 1963
Electricity (Supply) (Karnataka Amendment) Act, 1981, 1992_K_41.txt
Child Marriage Restraint (Karnataka Amendment) Act, 2004
Karnataka Revision of State Laws Act, 1955
Karnataka Excise (Amendment) Act, 2007
Karnataka Tax on Profession, Trades, Callings and Employments Act, 1976, 1991_S_65.txt
Karnataka Gift Goods (Unlawful Possession) (Amendment) Act, 1969
Constitution (Scheduled Tribes) Order (Amendment) Act, 2012
Andhra Pradesh Entertainment Tax (Amendment) Act, 1986
Andhra Pradesh Public Employment (Regulation of Age of Superannuation) Amendment Act, 1998
Andhra Pradesh Co-operative Societies (Second Amendment) Act, 2003
Andhra Pradesh Municipal Corporations Act, 1994
Andhra Pradesh Civil Courts (Amendment) Act, 1993
Andhra Pradesh Agricultural University (Amendment) Act, 1992
Contract Labour (Regulation and Abolition) (Andhra Pradesh Amendment) Act, 2015
Andhra Pradesh Value Added Tax (Second Amendment) Act, 2012
Andhra Pradesh Fire Service (Amendment) Act, 2006
Andhra Pradesh Tax on Professions Trades Callings and Employments Act, 1987
Indian stamp (Andhra Pradesh Amendment) Act, 1997
Andhra Pradesh Panchayat Raj (Amendment) Act, 1998
Andhra Pradesh Value Added Tax (Amendment) Act, 2017
Andhra Pradesh Motor Vehicles Taxation Act, 1963, 1971_A_56.txt, 1985_K_8.txt, 2005_M_7.txt, 2001_G_104.txt, 2004_R_184.txt, 2006_G_56.txt
Andhra Pradesh Water Resources Development Corporation Act, 1997
University of Health Sciences (Amendment) Act, 1987
Andhra Pradesh Value Added Tax (Second Amendment) Act, 2013
Andhra Pradesh General Sales Tax (Amendment) Act, 1994
Andhra Pradesh Water Tax Act, 1988
Andhra Pradesh Record of Rights in Land and Pattadar Pass Books (Amendment) Act, 1994
Andhra Pradesh (Agricultural Produce and Livestock) Markets (Amendment) Act, 1998
Andhra Pradesh (Andhra Area) Land Revenue Assessment (Amendment) Act, 1914
Andhra Pradesh Co-operative Societies (Amendment) Act, 1998
Andhra Pradesh Commission for Backward Classes (Amendment) Act, 1997
Andhra Pradesh Universities Act (Amendment) Act, 2011
Andhra Pradesh University Acts, (Amendment) Act, 1986
Andhra Pradesh Private Educational Institutions Maintenance Grant (Regulation) Act, 1995
Andhra Pradesh Electricity Duty (Amendment) Act, 1994
Andhra Pradesh Land Grabbing (Prohibition) (Second Amendment) Act, 1988
Andhra Pradesh (Krishna, Godavari and Pennar Delta Area) Drainage Cess (Amendment) Act, 1991
Andhra Pradesh Tax on Professions, Trades, Callings and Employments (Amendment) Act, 2010
State Bank of Hyderabad Act, 1956
Andhra Pradesh Rashtra Karshaka Parishad and Allied Bodies (Amendment) Act, 1988
Andhra Pradesh (Telangana Area) Abolition of Inams (Amendment) Act, 1994
University of Health Sciences (Amendment) Act, 1998
Andhra Pradesh Municipal Laws (Amendment) Amending Act, 1996
Societies Registration (Andhra Pradesh) (Andhra Area) Amendment Act, 1954
University of Health Sciences (Amendment) Act, 1990
Andhra Pradesh (Telangana Area) Ijara and Kowli Land Cancellation of Irregular Pattas and Abolition of Concessional Assessment Act, 1961
Andhra Pradesh Tax on Professions, Trades, Callings and Employments (Amendment) Act, 2003
Andhra Pradesh Water Tax (Amendment) Act, 1997
Andhra Pradesh Co-operative Societies (Amendment) Act, 2007
Andhra Pradesh Co-operative Societies (Second Amendment) Act, 1999
Andhra Pradesh General Sales Tax (Third Amendment) Act, 2002
Andhra Pradesh College Service Commission (Amendment) Act, 1995
Andhra Pradesh Prohibition of smoking and Health Protection Act, 2002
Andhra Pradesh Lotteries (Amendment) Act, 1995
Andhra Pradesh Value Added Tax (Fourth Amendment) Act, 2007
Andhra Pradesh Value Added Tax (Amendment) Act, 2012
Andhra Pradesh Horticultural University (Amendment) Act, 2011
Andhra Pradesh Payment of- Salaries and Pension and Removal of Disqualifications (Amendment) Act, 1998
Andhra Pradesh General Sales Tax (Amendment) Act, 1986
Registration (Andhra Pradesh Amendment) Act, 1999
Andhra Pradesh Small Scale Industries (Restriction on Sales Tax Holiday) Act, 1995
Andhra Pradesh University Acts (Amendment) Act, 1991
Andhra Pradesh Yogadhayayana Parishad (Repeal) Act, 1990
Andhra Pradesh Municipal Laws (Amendment) Act, 1995
Andhra Pradesh Urban Areas (Development) Act, 1975, 2011_V_17.txt, 2007_V_69.txt
Andhra Pradesh Land Grabbing (Prohibition) (Amendment) Act, 1988
Andhra Pradesh Record of Rights in Land (Amendment) Act, 1989
Andhra Pradesh Public Libraries (Amendment) Act, 1987
Andhra Pradesh Rights in Land and Pattadar Pass Books (Amendment) Act, 2011
Andhra Pradesh Payment of Salaries and Pension and Removal of Disqualifications (Second Amendment) Act, 1998
Andhra Pradesh (Regulation of Trade in Indian Made Foreign Liquor, Foreign Liquor) (Amendment) Act, 2016
Andhra Pradesh Survey and Boundaries Act, 1923
Andhra Pradesh Municipal Laws (Amendment) Act, 1986
Indian Tolls (Andhra Pradesh Amendment) Act, 2002
Andhra Pradesh State Minorities Commission Act, 1998, 2002_C_48.txt
Andhra Pradesh Land Licensed Cultivators Act, 2011
Andhra Pradesh Industrial Single Window Clearance Act, 2002
Andhra Pradesh Mutually Aided Cooperative Societies Act, 1995
Andhra Pradesh Advocates' Clerks, Welfare Fund Act, 1992
Hyderabad Metropolitan Water Supply (Validation of Water Rates and Service Charges) Act, 1988
Salar Jung Museum Act, 1961
Andhra Pradesh Municipal Laws (Second Amendment) Act, 2000
Andhra Pradesh Municipal Laws (Amendment) Act, 1990
Contract Labor (Regulation and Abolition) (Andhra Pradesh Amendment) Act, 2003
Andhra Pradesh Municipal Laws (Second Amendment) Act, 2012
Andhra Pradesh Civil Services (Disciplinary Proceedings Tribunal) (Amendment) Act, 1993
Andhra Pradesh (Regulation of Appointments to Public Services and Rationalization of Staff Pattern and Pay Structure) (Amendment) Act, 1998
Andhra Pradesh Metropolitan Planning Committee Act, 2007
Andhra Pradesh Departmental Inquiries (Enforcement of Attendance of witnesses and Production of Documents) Act, 1993
Andhra Pradesh Prevention of Dangerous Activities of Bootleggers, Dacoits, Drug-Offenders, Goondas, Immoral Traffic Offenders and Land-Grabbers Act, 1986
Andhra Pradesh Sales Tax (Settlement of Disputes) Act, 2001
Hyderabad Coinage and Paper Currency (Miscellaneous Provisions) Act, 1953
Andhra Pradesh Charitable and Hindu Religious Institutions and Endowments (Amendment) Act, 1990
Andhra Pradesh Mandala Praja Parishads, Zilla Praja Parishads and Zilla Pranalika Abhivrudhi Mandals Act, 1986
Andhra Pradesh Co-operative Societies (Amendment) Act, 1987
Andhra Pradesh (Andhra Area) District Police Act, 1859, 2009_P_1.txt
Andhra Pradesh Municipal Laws (Amendment) Act, 2000
Andhra Pradesh Sports Authorities Act, 1988
Andhra Pradesh Appropriation Act, 2007
Andhra Pradesh Value Added Sales Tax Act, 2002
Indian Partnership (Andhra Pradesh Amendment) Act, 1994
Andhra Pradesh Co-operative Laws (Amendment) Act, 1987
Andhra Pradesh General Sales Tax (Second Amendment) Act, 1994
Andhra Pradesh Land Encroachment (extension and Amendment) Act, 1958
Andhra Pradesh Mineral Bearing Lands (Infrastructure) Cess Act, 2005
Andhra Pradesh Payment of salaries and Pension and Removal of Disqualifications (Amendment) Act, 1997
Andhra Pradesh (Regulation of Appointments to Public Services and Rationalisation of Staff Pattern and Pay Structure) (Amendment) Act, 2017
Industrial Disputes (Andhra Pradesh Amendment) Act, 2011
Andhra Pradesh (Telangana Area) District Police Act, 1919
Andhra Pradesh Survey and Boundaries (Extension and Amendment) Act, 1958
Andhra Pradesh Excise (Second Amendment) Act, 2017
Andhra Pradesh Excise (Amendment) Act, 2000
Andhra Pradesh Municipal Laws (Amendment) Act, 1987
Andhra Pradesh Motor Vehicles Taxation (Amendment) Act, 2003
Andhra Pradesh Agricultural University (Amendment) Act, 1996
Andhra Pradesh General Sales Tax (Amendment) Act, 1992
Andhra Pradesh Advocates Welfare Fund and the Andhra Pradesh Advocates Clerks Welfare Fund (Amendment) Act, 2001
Andhra Pradesh Municipal laws (Second Amendment) Act, 1995
Andhra Pradesh General Sales Tax (Amendment) Act, 2001
Andhra Pradesh Entry of Goods into Local Area Tax (Amendment) Act, 1988
Andhra Pradesh Prohibition of Absorption of Employees of State Government Public Sector undertakings into Public Service Act, 1997
Andhra Pradesh Fire Service (Amendment) Act, 2000
Andhra Pradesh General Sales Tax (Amendment) Act, 1998
Andhra Pradesh Gram Panchayats and the Andhra Pradesh Mandala Praja Parishads, Zilla Praja Parishads and Zilla Pranalika and Abhivrudhi Sameeksha Mandala (Amendment) Act, 1990
Andhra Pradesh Cinemas (Regulation Amendment) Act, 1995
Andhra Pradesh Muttah, Jattu, Hamal and other Manual Workers (Regulation of Employment and Welfare) Act, 1976
Andhra Pradesh Charitable and Hindu Religious Institutions and Endowments Act, 1987, 2007_K_6.txt, 1997_A_1.txt, 2001_T_88.txt, 2014_G_40.txt, 1997_C_56.txt, 2004_C_205.txt, 1997_T_156.txt, 1997_S_252.txt, 2003_T_88.txt, 2004_T_27.txt, 1996_S_570.txt, 2004_G_80.txt, 1997_S_593.txt, 2001_H_98.txt
Andhra Pradesh Advocates Clerks Welfare Fund (Amendment) Act, 1994
Andhra Pradesh Lokayukta and Upa-Lokayukta (Amendment) Act, 2001
Andhra Pradesh Land Grabbing (Prohibition) (Amendment) Act, 1987, 2009_A_29.txt, 2010_M_145.txt, 2011_P_27.txt
Andhra Pradesh Panchayat Raj (Amendment) Act, 2007
Andhra Pradesh Co-operative Societies (Second Amendment) Act, 1995
Andhra Pradesh Public Employment (Regulation of Age of Superannuation) (Amendment) Act, 2014
Andhra Pradesh Tax on Luxuries (Amendment) Act, 2000
Andhra Pradesh (Telangana Area) Land Revenue Act, 1317 F, 2000_G_80.txt, 2001_M_142.txt, 2014_V_18.txt
Andhra Pradesh Education (Amendment) Act, 1987, 2005_J_4.txt
Andhra Pradesh Co-operative Societies (Amendment) Act, 1993
Andhra Pradesh General Sales Tax (Amendment) Act, 1989
Andhra Pradesh Local Bodies Electoral Reforms Act, 1989
Andhra Pradesh Public Employment (Regulation of Age of Superannuation) Amendment Act, 1985
Dentist (Andhra Pradesh Amendment) Act, 2017
Andhra Pradesh Prevention of Dangerous Activities of Boot Leggers, Dacoits, Drug-Offenders, Goondas, Immoral Traffic Offenders and Land Grabbers (Amendment) Act, 1986
Hyderabad Export Duties (Validation) Act, 1955
Andhra Pradesh Lokayukta and Upa-Lokayukta (Amendment) Act, 2002
Andhra Pradesh Urban Areas (Development) (Amendment) Act, 2003
Andhra Pradesh Single Window Cooperative Credit Structure at State level Act, 1994
University of Hyderabad Act, 1974
Andhra Pradesh Agricultural Land (Conversion for Non-Agricultural Purposes) (Amendment) Act, 2012
Andhra Pradesh General Sales Tax (Third Amendment) Act, 1995
Andhra Pradesh Co-operative Societies (Amendment) Act, 2012
Andhra Pradesh Borstal Schools (Amendment) Act, 2001
Andhra Pradesh General sales Tax (Second Amendment) Act, 1998
Andhra Pradesh Propagation of other religion in the places of worship or prayer (Prohibition) Act, 2007
Andhra Pradesh Mandala Praja Parishads, Zilla Praja Parishads and Zilla Pranalika and Abhivrudhi Sameeksha Mandals (Amendment) Act, 1991
Andhra Pradesh Prevention of the Disfigurements of Open Places and Prohibition of obscene and objectionable posters and Advertisements Act, 1997
Andhra Pradesh General Sales Tax (Amendment) Act, 1993
Andhra Pradesh Co-operative societies (Second Amendment) Act, 2001
Andhra Pradesh General Sales Tax (Amendment) Act, 1996
Hyderabad Metropolitan Water Supply and Sewerage (Amendment) Act, 1997
Andhra Pradesh General Sales Tax (Second Amendment) Act, 2002
Andhra Pradesh Compulsory Registration of Marriages Act, 2002
Andhra Pradesh Apartments (Promotion of Construction and Ownership) Act, 1987
Andhra Pradesh (Telangana Area) Prevention of Fragmentation and Consolidation of Holdings Act, 1956
Andhra Pradesh Civil Services (Disciplinary Proceedings Tribunal) Act, 1960, 1975_C_31.txt, 2004_M_9.txt, 1997_M_38.txt, 1998_G_45.txt
Andhra Pradesh Public Premises (Eviction of Unauthorised Occupants) Act, 1968
Andhra Pradesh (Regulation of Appointments to Public Services and Nationalization of Staff Pattern and Pay Structure) (Second Amendment) Act, 1998
Andhra Pradesh General Sales Tax (Third Amendment) Act, 1988
Bobbili and Seethanagaram (Acquisition and Transfer of Sugar Undertakings) Act, 1986
Andhra Pradesh Societies Registration Act, 2001, 2011_F_2.txt, 2011_V_17.txt, 2017_S_14.txt
Andhra Pradesh Agricultural Land (Conversion for Non-Agricultural Purposes) Act, 2006
Andhra Pradesh Commissionerate of Higher Education Act, 1986, 1987_S_171.txt, 1995_A_26.txt, 2003_S_312.txt
Andhra Pradesh Excise (Amendment) Act, 2017
Andhra Pradesh Private Universities (Establishment and Regulation) Act, 2016
Andhra Pradesh Urban Areas (Development) (Second Amendment) Act, 1996
Andhra Pradesh Value Added Tax (Amendment) Act, 2005
Andhra Pradesh Public Libraries (Amendment) Act, 1990
Andhra Pradesh Tax on Professions, Trades, Callings and Employments (Second Amendment) Act, 2003
Andhra Pradesh Municipal Laws (Second Amendment) Act, 1987
Indian Stamp (Andhra Pradesh Amendment) Act, 1999
Andhra Pradesh Value Added Tax (Second Amendment) Act, 2015
Indian Stamp (Andhra Pradesh Amendment) Act, 1998
Andhra Pradesh Municipal Laws (Amendment) Act, 1994
Andhra Pradesh General Sales Tax (Amendment) Act, 1988
Andhra Pradesh Motor Vehicles Taxation (Amendment) Act, 1995
Hyderabad Metropolitan Water Supply and Sewerage (Amendment) Act, 2007
Andhra Pradesh Prevention of Couching Act, 1964
Andhra Pradesh Tahsildars and Deputy Tahsildars (Construction of References) Act, 1985
Andhra Pradesh Civil Courts Laws (Amendment) Act, 1997
Andhra Pradesh District Planning Committees (Amendment) Act, 2007
Andhra Pradesh General Sales Tax Act, 1957, 1999_M_183.txt, 2005_M_69.txt, 2013_S_358.txt, 1998_C_107.txt, 2007_M_303.txt, 1978_G_23.txt, 1993_C_5.txt, 2008_C_213.txt, 1976_S_132.txt, 1990_S_211.txt, 1995_G_53.txt, 2008_C_144.txt, 1964_Y_1.txt, 2014_S_447.txt, 1990_J_39.txt, 1994_T_11.txt, 1966_S_58.txt, 2007_C_166.txt, 1988_S_177.txt, 1999_D_9.txt, 2006_S_199.txt, 1997_C_240.txt, 2000_K_134.txt, 2007_C_101.txt, 2001_C_212.txt, 1998_S_245.txt, 1973_M_13.txt, 2002_R_132.txt, 2006_M_47.txt, 1994_S_340.txt, 1996_S_571.txt, 1985_A_37.txt, 1999_S_233.txt, 2015_M_105.txt, 1977_C_21.txt, 1998_S_247.txt, 2010_M_93.txt, 2007_C_282.txt, 1967_S_65.txt, 2000_S_601.txt, 1999_G_59.txt, 2016_S_244.txt, 1987_N_27.txt, 2007_S_266.txt, 1989_G_28.txt, 1987_S_250.txt, 1976_S_85.txt, 2012_G_19.txt, 1990_S_79.txt, 1988_S_100.txt, 2004_T_90.txt, 1976_M_47.txt, 1992_S_431.txt, 2007_C_174.txt, 1985_T_32.txt, 1963_S_57.txt, 2007_C_276.txt, 1990_C_73.txt, 1972_M_9.txt, 2008_D_13.txt, 2000_S_338.txt, 2005_M_84.txt, 2005_G_16.txt, 1989_C_43.txt, 1999_C_126.txt, 2000_G_87.txt, 2000_F_9.txt, 1993_S_258.txt, 1996_S_740.txt, 2011_S_142.txt, 2016_S_405.txt, 2003_U_106.txt, 2010_S_533.txt, 1976_A_3.txt, 2016_C_10.txt, 1999_B_126.txt, 1986_S_221.txt, 1995_S_396.txt, 1997_S_125.txt, 2008_G_98.txt, 1985_C_21.txt, 2001_S_505.txt, 1986_C_49.txt, 1995_D_128.txt, 1996_P_188.txt, 2005_P_125.txt, 1976_C_29.txt, 2004_S_279.txt, 1968_C_27.txt, 1993_S_179.txt, 2001_S_511.txt
Andhra Pradesh Vacant Lands in Urban Areas (Prohibition of Alienation) Repeal Act, 1978
Andhra Pradesh Assigned Lands (Prohibition of Transfers) Act, 1977, 2006_C_238.txt, 2003_P_10.txt, 2015_J_51.txt, 2000_G_80.txt, 2014_G_39.txt
Andhra Pradesh Districts (Formation) Act, 1974, 1988_S_176.txt
Andhra Pradesh Advocates Welfare Fund and the Andhra Pradesh Advocates' Clerks' Welfare Fund (Amendment) Act, 1998
Andhra Pradesh Dotted Lands (Updation in Re-settlement Register) Act, 2017
Greater Hyderabad Municipal Corporation (Amendment) Act, 2011
Andhra Pradesh Payment of Salaries and Pension and Removal of Disqualifications (Second Amendment) Act, 2007
Andhra Pradesh Intoxicating Liquors (Prohibition of Advertisements) Act, 1978
Andhra Pradesh General Sales Tax (Amendment) Act, 1997
Andhra Pradesh Escheats and Bona Vacantia Act, 1974
Andhra Pradesh (Agricultural Produce and Livestock) Markets (Amendment) Act, 2005
Andhra Pradesh Universities (Amendment) Act, 2011
Andhra Pradesh Charitable and Hindu Religious Institutions and Endowments (Amendment) Act, 2015
Andhra Pradesh Municipal Laws (Amendment) Act, 1992
Andhra Pradesh Value Added Tax (Amendment) Act, 2009
Andhra Pradesh Co-operative Societies (Amendment) Act, 1992
Andhra Pradesh Municipal Laws (Amendment) Act, 1993
Andhra Pradesh Lokayukta Act, 1983, 1996_T_165.txt, 2013_J_15.txt
Andhra Pradesh Urban Areas (Development) (Amendment) Act, 2000
Andhra Pradesh Splitting up of Joint Pattas Act, 1965
Andhra Pradesh Co-operative Societies (Amendment) Act, 2011
Andhra Pradesh Municipal Laws (Amendment) Act, 2011
Andhra Pradesh Advocates Welfare Fund and the Andhra Pradesh Advocates Clerks Welfare Fund Acts (Amendment) Act, 1992
Andhra Pradesh Urban Areas (Development) (Amendment) Act, 2001
Andhra Pradesh (Andhra Area) Land Improvement Schemes (Contour Bunding and Contour Trenching) Act, 1949
Andhra Pradesh (Rights in Land) and Pattadar Pass Books Act, 1971
Andhra Pradesh Payment of Salaries and Pension and Removal of Disqualification (Amendment) Act, 1986
Andhra Pradesh Land Revenue (Enhancement) Act, 1967
Andhra Pradesh Entry of Goods Into Local Area Tax (Amendment) Act, 1987
Andhra Pradesh Fiscal Responsibility and Budget Management (Amendment) Act, 2011
Andhra Pradesh Charitable and Hindu Religious Institutions and Endowments (Amendment) Act, 1997
